Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RST1, SW2",SW_SPST_EVQPE1,3,SW_Push,
"C1, C13",C_0603_1608Metric,2,10uF,
"C10, C16, C18, C2, C3, C5, C7, C8, C9",C_0402_1005Metric,9,2.2uF,
"C11, C20, C23, C24, C26, C28, C29, C30, C31, C35, C36, C37, C38",C_0402_1005Metric,13,100nF,
"C12, C15, C19",C_0402_1005Metric,3,10pF,
"C14, C17, C21, C22",C_0402_1005Metric,4,12pF,
C25,C_0402_1005Metric,1,470pF,
"C27, C32, C33",C_0805_2012Metric,3,22uF,
C34,C_1206_3216Metric,1,1nF/2000V,
"C39, C40",C_0402_1005Metric,2,30pF,
"C4, C6",C_0402_1005Metric,2,NC,
"D1, PWR1",LED_0603_1608Metric,2,LED,
D2,LED_D3.0mm_Horizontal_O3.81mm_Z2.0mm,1,IR204C-A-L,
FB1,L_0805_2012Metric,1,FB0805/600R/2A,C304329
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
J2,HR911105A,1,RJ45_Bel_SI-60062-F,C12074
J3,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,C962222
J4,PinSocket_1x11_P2.54mm_Vertical,1,Conn_01x11_Male,
"J7, J8",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Male,
L1,L_0603_1608Metric,1,120R @ 100M,
L2,L_0402_1005Metric,1,0R,
L3,L_0805_2012Metric,1,2.2uH,
"R1, R13, R22, R24, R25, R26, R27, R28, R30, R9",R_0402_1005Metric,10,10K,
"R10, R12, R7",R_0402_1005Metric,3,1K,
R11,R_0402_1005Metric,1,12.1K,
"R14, R15, R16, R17",R_0402_1005Metric,4,49.9,
"R18, R20, R31",R_0402_1005Metric,3,330,
R19,R_0402_1005Metric,1,0R,
"R2, R4, R5, R6",R_0402_1005Metric,4,10,
R21,R_0402_1005Metric,1,200,
R23,R_0402_1005Metric,1,510,
R29,R_0402_1005Metric,1,NC,
R3,R_0402_1005Metric,1,100K,
R8,R_0402_1005Metric,1,1.5K,
U1,QFN-48-1EP_6x6mm_P0.4mm_EP4.3x4.3mm,1,BL706C,
U2,SOT-23-5,1,ME6211C33,
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,LAN8720A,C45223
U4,SOIC-8_5.275x5.275mm_P1.27mm,1,W25Q128JVSIQ,C97521
U5,SOP-8_3.9x4.9mm_P1.27mm,1,APS1604M-3SQ,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
